address,availability_date,construction_year,floors,current_state,habitable_area,rent,charges,energy_consumption
"1000 BRUXELLES
    
    |
    
      Adres aanvragen",31/05/2018,"",7,Uitstekende staat,75 m2,€ 730 /maand,"",179 kWu/m2
"1030 Schaarbeek
    
    |
    
      Adres aanvragen","","",6,"",75 m2,€ 720 /maand,"",277 kWu/m2
"avenue voltaire 38
    
    | 1030 - Schaarbeek",01/07/2018,1912,"",Vernieuwd,85 m2,€ 720 /maand,€ 10,""
"Avenue Laure 112
    
    | 1082 - Berchem-Ste-Agathe","",1930,3,Goede staat,71 m2,€ 725 /maand,€ 25,""
"Alfred Cluysenaar 19
    
    | 1060 - St-Gilles",01/06/2018,1904,4,Goede staat,65 m2,€ 730 /maand,€ 60,226 kWu/m2
"","","","","","","","",""
"Rue Pierre Hap Lemaitre 9
    
    | 1040 - Etterbeek",01/07/2018,"","",Uitstekende staat,65 m2,€ 725 /maand,€ 50,185 kWu/m2
"Rue Alfred Doulceron 18
    bus 3
    | 1083 - Ganshoren",20/05/2018,1950,3,Goede staat,85 m2,€ 720 /maand,"",""
"boulevard emile bockstael 87
    bus 3
    | 1020 - Laeken","","",4,Goede staat,80 m2,€ 720 /maand,€ 30,""
"Avenue de la Libre Académie 36
    
    | 1070 - Anderlecht","","",5,"",85 m2,€ 725 /maand,"",""
"avenue des Criquets 17
    
    | 1170 - Watermael-Boitsfort","","","",Goede staat,80 m2,€ 730 /maand,€ 90,""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen","","",3,Goede staat,85 m2,€ 725 /maand,€ 125,""
"1020 Laeken
    
    |
    
      Adres aanvragen",15/04/2018,1967,18,Uitstekende staat,110 m2,€ 725 /maand,€ 150,""
"Rue Saint-Bernard 83
    
    | 1060 - St-Gillis","","","",Uitstekende staat,70 m2,€ 720 /maand,€ 30,""
"Rue des Echevins 39
    
    | 1050 - Elsene",01/05/2018,"","","","",€ 720 /maand,€ 170,""
"","","","","","","","",""
"1000 Brussel
    
    |
    
      Adres aanvragen","","","","",85 m2,€ 720 /maand,€ 80,""
"","","","","","","","",""
"","","","","","","","",""
"Rue Champs du roi 59-61
    
    | 1040 - Etterbeek",01/07/2018,1960,4,Goede staat,72 m2,€ 735 /maand,€ 35,222 kWu/m2
"","","","","","","","",""
"Avenue Charles Quint 266 
    bus 0
    | 1083 - Ganshoren","","",3,"",80 m2,€ 735 /maand,"",""
"1000 BRUXELLES
    
    |
    
      Adres aanvragen",31/05/2018,"",7,Uitstekende staat,75 m2,€ 730 /maand,"",179 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen",01/07/2018,"",3,Vernieuwd,65 m2,€ 735 /maand,"",""
"Alfred Cluysenaar 19
    
    | 1060 - St-Gilles",01/06/2018,1904,4,Goede staat,65 m2,€ 730 /maand,€ 60,226 kWu/m2
"avenue des Criquets 17
    
    | 1170 - Watermael-Boitsfort","","","",Goede staat,80 m2,€ 730 /maand,€ 90,""
"Rue de la Brasserie 11
    bus x
    | 1180 - Ukkel",01/03/2018,"",3,Goede staat,65 m2,€ 740 /maand,€ 45,""
"Rue General Leman 63
    
    | 1040 - Etterbeek",05/06/2018,1905,3,Goede staat,74 m2,€ 750 /maand,€ 15,314 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen","","",7,Goede staat,96 m2,€ 750 /maand,€ 100,162 kWu/m2
"Rue Lieutenant Liedel 10
    
    | 1070 - Anderlecht","",1970,5,Vernieuwd,65 m2,€ 750 /maand,"",345 kWu/m2
"1083 Ganshoren
    
    |
    
      Adres aanvragen",01/07/2018,"",3,Goede staat,75 m2,€ 750 /maand,€ 50,156 kWu/m2
"rue Albert de Meyer 21
    bus 0
    | 1020 - Laeken","",1930,3,Vernieuwd,65 m2,€ 750 /maand,"",""
